"track_id","track_name","track_popularity","album_name","album_type","album_label","album_popularity","artist_num","artist_name","artist_followers","artist_popularity","pop","hip_hop","rock","electro","christmas","cinema","latino","collab","explicit","danceability","energy","key","mode","time_signature","loudness","speechiness","acousticness","liveness","valence","tempo","duration","streams","year_release","month_release","day_release","weekday_release","year_week","month_week","week_index","rank_group"
"5W83ErFkO3aKAIS1WMi6u0","Secreto",74,"Secreto","single","Anuel AA & Karol G - Secreto",62,2,"Anuel AA",24501277,87,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.807,0.803,"11","1","4",-4.156,0.126,0.602,0.136,0.706,91.987,258.8,17332372,"2019","01","15","martes","2019","03",114,"11-20"
"2JvzF1RMd7lE3KmFlsyZD8","MIDDLE CHILD",81,"MIDDLE CHILD","single","Dreamville, Inc., Under exclusive license to Roc Nation Records",68,1,"J. Cole",18147704,86,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.837,0.364,"8","1","4",-11.713,0.276,0.149,0.271,0.463,123.984,213.593,17308718,"2019","01","23","miércoles","2019","03",114,"11-20"
"5p7ujcrUXASCNwRaWNHR1C","Without Me",78,"Without Me","single","Capitol Records",65,1,"Halsey",18611334,83,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE",0.752,0.488,"6","1","4",-7.05,0.0705,0.297,0.0936,0.533,136.041,201.66,16881407,"2018","10","04","jueves","2019","03",114,"11-20"
"7uH27oIt4a6cIFCA8ZPcyG","Baila Baila Baila",1,"Baila Baila Baila","single","VP Records Corp/Dimelo Vi",0,1,"Ozuna",33993948,88,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",0.816,0.754,"11","0","4",-2.75,0.111,0.0361,0.217,0.533,99.966,158.4,16490792,"2019","01","05","sábado","2019","03",114,"11-20"
"3e9HZxeyfWwjeyPAMmWSSQ","thank u, next",82,"thank u, next","album","Republic Records",80,1,"Ariana Grande",84170537,89,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE",0.717,0.653,"1","1","4",-5.634,0.0658,0.229,0.101,0.412,106.966,207.32,16194401,"2019","02","08","viernes","2019","03",114,"11-20"
"4NzMOnvSJVNKF7nw5NkXIP","bury a friend",0,"bury a friend","single","Darkroom/Interscope Records",0,1,"Billie Eilish",70569216,89,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.905,0.389,"8","1","4",-14.505,0.332,0.74,0.106,0.196,120.046,193.143,15589476,"2019","01","30","miércoles","2019","03",114,"11-20"
"7COXchtUOMd6uIT6HvmRaI","i'm so tired...",1,"i'm so tired...","single","Lauv",0,2,"Lauv",5308777,78,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.599,0.733,"11","1","4",-7.058,0.203,0.176,0.242,0.534,102.211,162.582,15458453,"2019","01","24","jueves","2019","03",114,"11-20"
"5WHTFyqSii0lmT9R21abT8","Don't Call Me Up",77,"Ivy To Roses (Mixtape)","album","Polydor Records",65,1,"Mabel",1689817,70,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.674,0.881,"9","1","4",-2.853,0.147,0.296,0.0793,0.234,98.994,178.48,15114195,"2019","01","18","viernes","2019","03",114,"11-20"
"7eBqSVxrzQZtK2mmgRG6lC","Murder On My Mind",78,"I AM YOU","album","P2018",70,1,"YNW Melly",8092628,74,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.759,0.73,"0","0","4",-7.985,0.0516,0.145,0.11,0.74,115.007,268.434,14782398,"2018","08","03","viernes","2019","03",114,"11-20"
"0rTV5WefWd1J3OwIheTzxM","Talk",69,"Talk","single","Right Hand Music Group, LLC/RCA Records",56,2,"Khalid",15574450,86,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.9,0.4,"0","1","4",-8.443,0.124,0.0501,0.0876,0.338,136.001,197.487,14755357,"2019","02","07","jueves","2019","03",114,"21-30"
